id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
249,46604,Inu Dai Suki!,NULL,1997-01-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
471,49101,Matthias Sammer Soccer,NULL,1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,0
532,40190,Jan Jan Paradise 2,NULL,1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
613,43840,FEDA 2: White Surge the Platoon,NULL,1997-05-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
649,48983,Game Boy Wars Turbo,NULL,1997-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1026,136557,Magic: The Gathering - Armageddon,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1111,45076,Jimmy Johnson's VR Football '98,NULL,1997-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2085,2405,Touring Car Champions,NULL,1997-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2238,8184,Temujin,"At the beginning of the 13th century, the Mongolian Empire was united by Genghis Khan, whose real name was Temüjin. At his death, he was buried with some mystical artifacts, one of which supposedly contained a dark and evil power. Time has passed and the tomb has remained undisturbed, until archaeologists recover the artifacts and put them on display at the Stevenson Museum. Slowly the powers of the artifacts begin to reawaken...",1997-10-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2265,144332,Barbie Storymaker,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2394,37891,Parlor! Mini 5,NULL,1997-03-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2688,714,Flight Unlimited II,NULL,1997-12-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2804,128641,MemGame,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2973,45454,Nissan Presents Over Drivin' GT-R,NULL,1997-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3128,3360,Microsoft Flight Simulator 98,NULL,1997-07-14 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
3137,150173,Super Famicom Wars BS Ban,NULL,1997-04-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
